id_acc,total_spend,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1769847650595058,35.269999999999996,5.1,6.13,7.09,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882068282534124,164.42000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.88,0.0,0.0,0.0,0.0,23.69,61.63,0.0,0.0,0.0,0.0,34.22,0.0,0.0,0.0
1900475340693151,381.30999999999995,3.04,9.2,8.95,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.65,0.0,11.65,94.62,137.15,0.0,0.0,0.0,0.0,0.08,0.0,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939281620140519,4331.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44,451.09,16.29,243.36,329.86,0.0,164.71,392.75,522.74,324.5,694.13,56.12,0.0,145.68,674.48,202.27,80.95,0.0,0.0
2041746786237656,1408.1900000000003,33.82,0.0,353.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.03,402.63,178.17,0.0,117.94,153.38,0.0,96.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066546387168098,188.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2323063664778946,3653.14,0.0,0.0,0.0,0.0,0.0,0.0,88.47,101.7,35.15,111.25,239.29,0.0,348.82,167.71,199.32,216.06,191.03,11.03,0.0,91.58,8.31,14.48,0.0,66.41,71.43,0.0,56.02,264.17,426.27,638.48,306.16
2440727859643250,1836.0,251.16,249.12,263.02,35.46,0.0,70.95,406.47,350.45,209.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2628048237587224,1303.97,2.34,3.38,3.4,0.32,0.0,0.0,0.0,28.63,32.48,0.0,0.0,0.0,0.0,68.48,115.11,42.01,0.0,0.0,0.0,130.23,11.79,40.9,149.45,40.3,0.0,0.0,52.06,165.33,150.52,164.46,102.78
329481729119868,587.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,462.17,123.1,0.99
4325770520986528,140.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588461697671440,410.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.06,297.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692338520527344,1885.1799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,472.15,381.65,454.24,287.27,0.0,0.0,0.0,0.0,288.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697174532632469,264.97,6.59,31.0,10.44,23.08,0.0,0.0,0.0,16.11,22.05,20.61,0.0,0.0,8.99,16.26,0.0,0.0,80.49,0.0,0.0,0.0,0.0,0.0,0.0,29.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710972050061959,57.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62,13.39,9.03,26.3
717584610981077,548.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.34,191.41,22.57,195.81,124.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723651777188971,105.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84,91.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7408011289229901,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.49,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758145033889284,1711.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.26,323.88,654.34,605.6,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778146745370739,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790737902319893,1127.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.4,481.05,261.3,17.74,0.0
802118259072557,112.05000000000001,0.0,0.0,0.0,0.0,0.0,0.0,86.29,25.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849049144949898,79.11999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07,0.0,10.44,14.66,22.38,0.0,0.0,0.0
941272469901791,423.09000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,243.95,134.27,44.86,0.0
978766854374396,1190.03,109.04,582.95,254.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,52.2,191.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
