name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,,,,,
VI33,6871749832937519,USD,"352,17",17-10-2025,17-10-2025,17,,,,,,,,
bao anh,351734124264108,USD,"30,59",17-10-2025,17-10-2025,17,,,,,,,,
S-1076373256834864,1076373256834864,USD,"37,47",17-10-2025,17-10-2025,17,,,,,,,,
S-280665824656412,280665824656412,USD,"24,52",17-10-2025,17-10-2025,17,,,,,,,,
S-1587236945381166,1587236945381166,USD,"23,01",17-10-2025,17-10-2025,17,,,,,,,,
S - 87100,382738037760478,USD,"78,29",17-10-2025,17-10-2025,17,,,,,,,,
S - 15067,902658447985023,USD,"1,03",17-10-2025,17-10-2025,17,,,,,,,,
S - 15082,1560045084761949,USD,"44,15",17-10-2025,17-10-2025,17,,,,,,,,
S - 86535,341060012173118,USD,"738,84",17-10-2025,17-10-2025,17,,,,,,,,
S - 86536,1111164169894815,USD,"76,14",17-10-2025,17-10-2025,17,,,,,,,,
S - 86539,384732550625234,USD,"39,70",17-10-2025,17-10-2025,17,,,,,,,,
S - 86540,915213846666846,USD,"50,59",17-10-2025,17-10-2025,17,,,,,,,,
S - 1224989,695100789376686,USD,"15,23",17-10-2025,17-10-2025,17,,,,,,,,
S - 1225013,338540505728781,USD,"8,37",17-10-2025,17-10-2025,17,,,,,,,,
1,318423827832933,USD,"190,90",17-10-2025,17-10-2025,17,,,,,,,,
S - 313,2441155466076269,USD,"440,83",17-10-2025,17-10-2025,17,,,,,,,,
S - 308,1332128754157041,USD,"69,84",17-10-2025,17-10-2025,17,,,,,,,,
1161534858161480,1161534858161480,USD,"38,62",17-10-2025,17-10-2025,17,,,,,,,,
S-092,251747947806551,USD,"22,08",17-10-2025,17-10-2025,17,,,,,,,,
S-092,1430635654207313,USD,"940,41",17-10-2025,17-10-2025,17,,,,,,,,
S-092,1107069996964712,USD,"25,72",17-10-2025,17-10-2025,17,,,,,,,,
ACC TL VIP,1059850581731793,USD,"30,66",17-10-2025,17-10-2025,17,,,,,,,,
SD Agency - 20446,6996399367102255,USD,"181,05",17-10-2025,17-10-2025,17,,,,,,,,
S - 10982,1049402182942135,USD,"30,89",17-10-2025,17-10-2025,17,,,,,,,,
S - 15116,1379551479397492,USD,"145,89",17-10-2025,17-10-2025,17,,,,,,,,
924795515661813,924795515661813,USD,"183,79",17-10-2025,17-10-2025,17,,,,,,,,
854201073071291,854201073071291,USD,"199,51",17-10-2025,17-10-2025,17,,,,,,,,
S - 61251,731620621907017,USD,"120,55",17-10-2025,17-10-2025,17,,,,,,,,
S-4850,351474907614850,USD,"141,20",17-10-2025,17-10-2025,17,,,,,,,,
S-0163,336886102490163,USD,"1.036,00",17-10-2025,17-10-2025,17,,,,,,,,
S-9229,1197311257909229,USD,"91,07",17-10-2025,17-10-2025,17,,,,,,,,
