name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,
S - 129112,936176982042793,USD,"133,62",25-10-2025,25-10-2025,25,,
Q41,9415292545227601,USD,"36,31",25-10-2025,25-10-2025,25,,
S-1179224117065420,1179224117065420,USD,"38,37",25-10-2025,25-10-2025,25,,
1616,1353509682630154,PHP,"105,86",25-10-2025,25-10-2025,25,,
RoiBogdan 61 3,1376878869985979,USD,"156,19",25-10-2025,25-10-2025,25,,
167,958536786255021,USD,"33,78",25-10-2025,25-10-2025,25,,
1670,1185050406361339,USD,"24,95",25-10-2025,25-10-2025,25,,
Đã fix thuế 5,9327465010713664,USD,"9,25",25-10-2025,25-10-2025,25,,
S - 54193 - K,1103429037877914,VND,"0,65",25-10-2025,25-10-2025,25,,
S - 312312,1474393043259413,VND,"309,18",25-10-2025,25-10-2025,25,,
S - 101,445122798061650,VND,"19,19",25-10-2025,25-10-2025,25,,
SD Agency - 58931,4571984929694644,VND,"64,74",25-10-2025,25-10-2025,25,,
Watermelon - 1014,693628566233627,PHP,"196,44",25-10-2025,25-10-2025,25,,
S-4417,1065795278064417,USD,"1.050,70",25-10-2025,25-10-2025,25,,
Now 166,1378157462798693,USD,"63,26",25-10-2025,25-10-2025,25,,
Now 169,1053199055902541,USD,"51,39",25-10-2025,25-10-2025,25,,
ND 454 red,1134995081242990,USD,"89,48",25-10-2025,25-10-2025,25,,
ND 460,358137616943154,USD,"148,03",25-10-2025,25-10-2025,25,,
ND 461,285774144491512,USD,"322,98",25-10-2025,25-10-2025,25,,
S - 92610,255160527592610,USD,"22,76",25-10-2025,25-10-2025,25,,
21,2135196510162528,USD,"71,10",25-10-2025,25-10-2025,25,,
TL 873,1561643291255972,USD,"65,87",25-10-2025,25-10-2025,25,,
S- 859,1051579169446956,USD,"24,95",25-10-2025,25-10-2025,25,,
S-280665824656412,280665824656412,USD,"50,89",25-10-2025,25-10-2025,25,,
S-1587236945381166,1587236945381166,USD,"45,75",25-10-2025,25-10-2025,25,,
S - 87100,382738037760478,USD,"99,45",25-10-2025,25-10-2025,25,,
S - 15065,913319163467378,USD,"199,76",25-10-2025,25-10-2025,25,,
S-741468033416353,741468033416353,USD,"1.137,65",25-10-2025,25-10-2025,25,,
S-30865734462red,308657344625083,USD,"157,17",25-10-2025,25-10-2025,25,,
S - 15374,681940702814796,USD,"341,48",25-10-2025,25-10-2025,25,,
S - 15376,337244804797933,USD,"115,03",25-10-2025,25-10-2025,25,,
S - 7645,307465564552755,USD,"2,84",25-10-2025,25-10-2025,25,,
S - 67642,2046531428850071,USD,"38,65",25-10-2025,25-10-2025,25,,
S - 45655,1085618385616050,USD,"88,39",25-10-2025,25-10-2025,25,,
S-3041975,484556833184121,USD,"54,85",25-10-2025,25-10-2025,25,,
S-22,484193949885931,USD,"45,52",25-10-2025,25-10-2025,25,,
S-3041975,1079527482901476,USD,"120,80",25-10-2025,25-10-2025,25,,
S-3041975,955964218374786,USD,"127,21",25-10-2025,25-10-2025,25,,
S-3041975,746157306362466,USD,"229,39",25-10-2025,25-10-2025,25,,
475592304159481 (1),475592304159481,USD,"14,08",25-10-2025,25-10-2025,25,,
265309692257659,265309692257659,USD,"89,33",25-10-2025,25-10-2025,25,,
894138267947600,894138267947600,USD,"157,90",25-10-2025,25-10-2025,25,,
S - 6745,457371742538892,USD,"62,65",25-10-2025,25-10-2025,25,,
Agency 226,768057787503801,USD,"319,69",25-10-2025,25-10-2025,25,,
sfgdn255,301782105149205,USD,"180,97",25-10-2025,25-10-2025,25,,
Agency 119,363727781850444,USD,"277,78",25-10-2025,25-10-2025,25,,
S - 76909 - k,456946902821042,USD,"1.599,89",25-10-2025,25-10-2025,25,,
S - 7566 - k,3130195300590925,USD,"172,40",25-10-2025,25-10-2025,25,,
Agency 108,339100864718667,USD,"44,07",25-10-2025,25-10-2025,25,,
Đã fix thuế 12,623327968934474,USD,"92,57",25-10-2025,25-10-2025,25,,
S - 3223,1049438285623080,USD,"95,27",25-10-2025,25-10-2025,25,,
SD Agency - 15386,696707152570068,USD,"121,30",25-10-2025,25-10-2025,25,,
SD Agency - 15390,1879741015761729,USD,"308,65",25-10-2025,25-10-2025,25,,
SD Agency - 15406,7025150240901177,USD,"204,04",25-10-2025,25-10-2025,25,,
S - 465136,1118215729187015,USD,"32,62",25-10-2025,25-10-2025,25,,
S - 465143,323285310681318,USD,"29,04",25-10-2025,25-10-2025,25,,
S - 465150,1165968337717881,USD,"217,08",25-10-2025,25-10-2025,25,,
703910281544679,703910281544679,USD,"203,90",25-10-2025,25-10-2025,25,,
S- 2355,1408385816440753,USD,"1,10",25-10-2025,25-10-2025,25,,
S- 4322,679972440694240,USD,"420,35",25-10-2025,25-10-2025,25,,
S - 6637,394267683074554,USD,"98,57",25-10-2025,25-10-2025,25,,
S- 2369,7284266338299071,USD,"101,13",25-10-2025,25-10-2025,25,,
Foster 1 2,1745573385911220,USD,"65,35",25-10-2025,25-10-2025,25,,
Foster 1 15.10 1,386973733732869,USD,"70,96",25-10-2025,25-10-2025,25,,
S - 011,3463167954013632,USD,"64,73",25-10-2025,25-10-2025,25,,
412845514429077,412845514429077,USD,"76,02",25-10-2025,25-10-2025,25,,
359996430300462,359996430300462,USD,"42,68",25-10-2025,25-10-2025,25,,
S-66666,7105228239555287,USD,"56,81",25-10-2025,25-10-2025,25,,
S - 20428,2476977662433277,USD,"382,12",25-10-2025,25-10-2025,25,,
SD Agency - 42862,619769189131921,USD,"47,97",25-10-2025,25-10-2025,25,,
S - 66194,1355739461531421,USD,"83,16",25-10-2025,25-10-2025,25,,
USD 198,4759144784153882,USD,"1,03",25-10-2025,25-10-2025,25,,
USD 208,240220871640218,USD,"721,93",25-10-2025,25-10-2025,25,,
USD 21,7211128648928173,USD,"1.744,73",25-10-2025,25-10-2025,25,,
USD 210,684303622577234,USD,"143,79",25-10-2025,25-10-2025,25,,
USD 213,363394381926278,USD,"340,92",25-10-2025,25-10-2025,25,,
USD 218,7006678346073563,USD,"14,61",25-10-2025,25-10-2025,25,,
USD 256,1049566332255688,USD,"1.294,14",25-10-2025,25-10-2025,25,,
S-7195,786609616067195,USD,"0,37",25-10-2025,25-10-2025,25,,
USD 288,684293679265518,USD,"65,42",25-10-2025,25-10-2025,25,,
S - 2951,5065732670179868,USD,"48,86",25-10-2025,25-10-2025,25,,
USD 31,5100044700063480,USD,"102,83",25-10-2025,25-10-2025,25,,
S-626190565158629,626190565158629,USD,"1,47",25-10-2025,25-10-2025,25,,
S - 73461,276817377736563,USD,"31,52",25-10-2025,25-10-2025,25,,
S - 73462,1382384448868237,USD,"70,27",25-10-2025,25-10-2025,25,,
S - 15452,352693930059288,USD,"52,99",25-10-2025,25-10-2025,25,,
S-1024859928440681,1024859928440681,USD,"79,58",25-10-2025,25-10-2025,25,,
S - 325626,507341310825560,USD,"277,97",25-10-2025,25-10-2025,25,,
