Last Month Remain,2432.446622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sent,"66,680.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra,342.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From/to,"9,429.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spent,66383.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/
Fees,"2,871.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remaining,9630.130434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Account,Name,Status,Currency,Threshold,GMT,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1459587265125108,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306853374252321,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248747170687101,,Live,,,,765.05,,,,39.75,63.1,112.83,69.7,92.9,,187.9,,198.87,,,,,,,,,,,,,,,,,,,
1041795126600711,,Die,,,,777.46,,,,461.33,261.63,54.5,,,,,,,,,,,,,,,,,,,,,,,,,
1596999314612518,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549807026181131,,Live,,,,430.78,,,,,,,,102.38,,201.55,,126.85,,,,,,,,,,,,,,,,,,,
1549520619753984,,Die,,,,83.58,,,,,,,83.58,,,,,,,,,,,,,,,,,,,,,,,,
1549094169589300,,Die,,,,200.5,,,,,,,70.34,82.98,,47.18,,,,,,,,,,,,,,,,,,,,,
1544792153637654,,Die,,,,361.97,,,,,,89.48,49.05,83.62,,139.82,,,,,,,,,,,,,,,,,,,,,
1140808401530587,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raze 4 - @dana_0990 (closed 5.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raze 5 - @majorr09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821264261809726,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485034429373317,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256568422814447,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349383756557602,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997675428881188,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069060365330096,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299204533554047,,Live,,,,5338.11,,,,,,,,,,,,,238.22,1720.75,1496.91,1882.23,,,,,,,,,,,,,,,
1167633821887251,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798719959674692,,Live,,,,623.37,,,,,,,,,,,,,239.96,365.3,18.11,,,,,,,,,,,,,,,,
772305748957999,,Live,,,,659.31,139.37,205.34,237.22,0,,,,,,,,,,,77.38,,,,,,,,,,,,,,,,
730127166745371,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726485950442612,,Live,,,,1282.06,176.33,172.32,245.08,0,,,,,,,,,,,105.13,583.2,,,,,,,,,,,,,,,
4171409066468834,,Live,,,,1555.48,542.79,600.43,358.82,0,,,,,,,,,,,53.44,,,,,,,,,,,,,,,,
3696351394005840,,Live,,,,71.82,56.48,15.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raze 5 - @majorr09 - user 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653238624509303,,DIe,,,,18.46,,,,18.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345349300340697,,Live,,,,1180.01,,,,,,145.23,110.31,,,,431.59,492.88,,,,,,,,,,,,,,,,,,,
1509618483721578,,Live,,,,172.65,,,,,,79.79,92.86,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raze 5 - @majorr09 - user 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raze 6 - @kot_kkk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078170236831281,,Live,USD,,,1857.55,,,,,,,,,,,,,657.25,529.51,416.65,254.14,,,,,,,,,,,,,,,
3458888464374802,,Live,USD,,,136.01,,,,,,,,,,,136.01,,,,,,,,,,,,,,,,,,,,
10203888248100809,,Live,USD,,,1042.5,,,357.27,166.2,518.31,0.72,,,,,,,,,,,,,,,,,,,,,,,,,
1052867492644298,,Live,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777336952654957,,Live,USD,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312584630891667,,Live,,,,1815.26,,,,,,95.53,,195.32,114.12,663.37,218.34,197.23,114.89,,,216.46,,,,,,,,,,,,,,,
,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776274702048126,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749235621432116,,Live,,,,2285.49,,,,79.34,1262.85,405.8,92.49,146.36,125.48,173.17,,,,,,,,,,,,,,,,,,,,,
1178961314076064,,Live,,,,107.1,,,,,,107.1,,,,,,,,,,,,,,,,,,,,,,,,,
1253468876433106,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382784176172944,,Live,,,,19.8,,,,,,,,,,,,,,5.15,10.96,3.69,,,,,,,,,,,,,,,
1387704255872300,,Back,11/1,,,290.34,,,290.34,0,,,,,,,,1166.89,1674.01,,,,,,,,,,,,,,,,,,
Raze 7 - @kairos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
