name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,
acc không share lại được,1742366719524202,USD,"90,45",09-10-2025,09-10-2025,9,,,N9
acc không share lại được,917492076609519,USD,"76,37",09-10-2025,09-10-2025,9,,,
acc không share lại được,1105633883807896,USD,"25,59",09-10-2025,09-10-2025,9,,,
Spiderman 1501,891396116013789,USD,"3,89",09-10-2025,09-10-2025,9,,,
VI59,286735751057852,USD,"557,23",09-10-2025,09-10-2025,9,,,
VI67,747168356871672,USD,"42,86",09-10-2025,09-10-2025,9,,,
lele119,1767817113644240,USD,"266,34",09-10-2025,09-10-2025,9,,,
lele119,7554757801225473,USD,"175,83",09-10-2025,09-10-2025,9,,,
VI38,906947064302281,USD,"406,88",09-10-2025,09-10-2025,9,,,
Spiderman 528,1388296738472837,USD,"268,47",09-10-2025,09-10-2025,9,,,
Spiderman 530,413425824346480,USD,"163,76",09-10-2025,09-10-2025,9,,,
Spiderman 533,848503197019860,USD,"150,07",09-10-2025,09-10-2025,9,,,
Spiderman 766,395766892973273,USD,"127,72",09-10-2025,09-10-2025,9,,,
Spiderman 768,1471836460032218,USD,"80,26",09-10-2025,09-10-2025,9,,,
Spiderman 777,3715985642059545,USD,"133,15",09-10-2025,09-10-2025,9,,,
Spiderman 781,745825540748602,USD,"434,08",09-10-2025,09-10-2025,9,,,
Spiderman 785,1096335058467602,USD,"634,09",09-10-2025,09-10-2025,9,,,
Spiderman 791,697813885753938,USD,"227,02",09-10-2025,09-10-2025,9,,,
acc không share lại được,1750274582469730,USD,"11,72",09-10-2025,09-10-2025,9,,,
FG bú,591027933588125,USD,"138,19",09-10-2025,09-10-2025,9,,,
FG bú,543959495210833,USD,"97,10",09-10-2025,09-10-2025,9,,,
S - 8852 - k,2166960063701299,USD,"23,62",09-10-2025,09-10-2025,9,,,
acc không share lại được,1255760338886039,USD,"20,49",09-10-2025,09-10-2025,9,,,
acc không share lại được,1239088494028251,USD,"25,87",09-10-2025,09-10-2025,9,,,
K - 15,8600111210106530,USD,"406,88",09-10-2025,09-10-2025,9,,,
S-1234,931183508548403,USD,"897,55",09-10-2025,09-10-2025,9,,,
S-1234,560762090144698,USD,"2.957,81",09-10-2025,09-10-2025,9,,,
🅢🅖🅐 4,1622595005318299,USD,"32,66",09-10-2025,09-10-2025,9,,,
