name_acc,id_acc,currency_acc,spend,date1,date2,day,note,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
S - 5857,913336696031509,VND,71.84,01-10-2025,01-10-2025,1,,,,,,,,
Long 732,1203508723754667,VND,8.17,01-10-2025,01-10-2025,1,,,,,,,,
S - 2000,1022890965237324,VND,17.29,01-10-2025,01-10-2025,1,,,,,,,,
Long 22 - k,666462171231250,VND,34.98,01-10-2025,01-10-2025,1,,,,,,,,
Bend1 0,405238516211557,USD,319.48,01-10-2025,01-10-2025,1,,,,,,,,
Kyoung Tae Park,401112523288326,KRW,2.95,01-10-2025,01-10-2025,1,,,,,,,,
S - 14614,421168811055700,USD,257.1,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,1291677531892285,USD,215.14,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,1688365645434303,USD,51.0,01-10-2025,01-10-2025,1,,,,,,,,
S - 129112,936176982042793,USD,123.49,01-10-2025,01-10-2025,1,,,,,,,,
Q41,9415292545227601,USD,12.83,01-10-2025,01-10-2025,1,,,,,,,,
S-636435032079742,636435032079742,USD,15.74,01-10-2025,01-10-2025,1,,,,,,,,
S-1179224117065420,1179224117065420,USD,11.52,01-10-2025,01-10-2025,1,,,,,,,,
S-1339748123830065,1339748123830065,USD,15.72,01-10-2025,01-10-2025,1,,,,,,,,
S-1391737675150298,1391737675150298,USD,26.98,01-10-2025,01-10-2025,1,,,,,,,,
s - 1531,937654111781665,USD,100.45,01-10-2025,01-10-2025,1,,,,,,,,
s - 1539,1374372423584702,USD,213.9,01-10-2025,01-10-2025,1,,,,,,,,
S - 6759,1299181751162572,USD,32.84,01-10-2025,01-10-2025,1,,,,,,,,
1608,1171979771177645,PHP,34.98,01-10-2025,01-10-2025,1,,,,,,,,
1610,639781245423869,PHP,24.87,01-10-2025,01-10-2025,1,,,,,,,,
1616,1353509682630154,PHP,142.97,01-10-2025,01-10-2025,1,,,,,,,,
1670,1185050406361339,USD,64.15,01-10-2025,01-10-2025,1,,,,,,,,
S - 6582,1829315177881615,USD,60.15,01-10-2025,01-10-2025,1,,,,,,,,
DavidZLV_K1 - 30/9,1113195526304431,USD,82.49,01-10-2025,01-10-2025,1,,,,,,,,
S - 54193,1103429037877914,VND,233.78,01-10-2025,01-10-2025,1,,,,,,,,
S - 54201,1264396757912288,VND,13.51,01-10-2025,01-10-2025,1,,,,,,,,
S - 14174,520031850734987,VND,21.99,01-10-2025,01-10-2025,1,,,,,,,,
S - 14194,974375327746057,VND,149.05,01-10-2025,01-10-2025,1,,,,,,,,
Đã fix thuế,285011994044321,VND,11.11,01-10-2025,01-10-2025,1,,,,,,,,
S - 9781,102875672882243,VND,38.54,01-10-2025,01-10-2025,1,,,,,,,,
THELINH134,1799544020469869,USD,342.71,01-10-2025,01-10-2025,1,,,,,,,,
THELINH130,189683077562429,USD,46.68,01-10-2025,01-10-2025,1,,,,,,,,
Watermelon - 1014,693628566233627,PHP,130.8,01-10-2025,01-10-2025,1,,,,,,,,
lele254,1096922865085567,USD,9.85,01-10-2025,01-10-2025,1,,,,,,,,
S-9096,887928256359096,USD,15.57,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,396124192862021,USD,221.24,01-10-2025,01-10-2025,1,,,,,,,,
Now 62,697453765702721,USD,196.13,01-10-2025,01-10-2025,1,,,,,,,,
Now 178,406496871713381,USD,944.18,01-10-2025,01-10-2025,1,,,,,,,,
Now 169,1053199055902541,USD,188.69,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,1316391009071408,USD,67.12,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,864937548627919,USD,307.58,01-10-2025,01-10-2025,1,,,,,,,,
S - 123,352963224149302,USD,80.89,01-10-2025,01-10-2025,1,,,,,,,,
ND 461,285774144491512,USD,251.87,01-10-2025,01-10-2025,1,,,,,,,,
S - 28282,1404789947078322,USD,2438.17,01-10-2025,01-10-2025,1,,,,,,,,
ND 158,698299369095143,USD,43.55,01-10-2025,01-10-2025,1,,,,,,,,
ND 160,1097795871358567,USD,2.56,01-10-2025,01-10-2025,1,,,,,,,,
ND 169,335991322651414,USD,261.1,01-10-2025,01-10-2025,1,,,,,,,,
S-2752,391618746762752,USD,14.21,01-10-2025,01-10-2025,1,,,,,,,,
S - 92610,255160527592610,USD,72.66,01-10-2025,01-10-2025,1,,,,,,,,
21,2135196510162528,USD,51.86,01-10-2025,01-10-2025,1,,,,,,,,
1459494838247062,1459494838247062,USD,39.68,01-10-2025,01-10-2025,1,,,,,,,,
S - 79932,1463028997581571,USD,1270.92,01-10-2025,01-10-2025,1,,,,,,,,
TL 864,353598914054705,USD,66.88,01-10-2025,01-10-2025,1,,,,,,,,
